verb,count,noun,count,adj,count,adv,count
haben,643.0,Gesicht,675,tief,89.0,sowieso,297.0
dauern,610.0,Dame,671,schwierig,89.0,total,294.0
wohnen,609.0,König,671,früh,89.0,müde,292.0
folgen,591.0,Platz,670,sicher,89.0,neu,292.0
schießen,589.0,Befehl,666,heutig,88.0,zumindest,291.0
benutzen,583.0,Teufel,666,berühmt,87.0,kalt,290.0
verkaufen,582.0,Nummer,656,leer,86.0,nämlich,282.0
ändern,579.0,Plan,641,verflucht,86.0,böse,282.0
kümmern,569.0,Million,632,gewöhnlich,86.0,unterwegs,279.0
hassen,564.0,Blut,623,deutsch,86.0,links,279.0
singen,563.0,Baby,614,englisch,85.0,ewig,279.0
fangen,561.0,Arzt,609,schnell,85.0,irgendwann,279.0
vorstellen,559.0,Dollar,602,billig,85.0,tatsächlich,278.0
verdienen,552.0,Erde,601,20.,85.0,wozu,276.0
solltest,543.0,Mord,596,dick,84.0,großartig,276.0
freuen,538.0,Hund,592,reich,82.0,klein,275.0
erfahren,535.0,Pferd,589,gnädig,82.0,süß,270.0
zerstören,535.0,Licht,589,medizinisch,82.0,hübsch,268.0
fehlen,532.0,Entschuldigung,584,mächtig,82.0,jung,267.0
lass,530.0,wiedersehen,573,beruhig,80.0,denk,264.0
legen,528.0,Himmel,565,schmutzig,80.0,diesmal,263.0
beginnen,527.0,Schule,556,dreckig,80.0,schrecklich,259.0
passen,527.0,Fehler,555,ähnlich,80.0,selber,256.0
versprechen,524.0,Arsch,552,12.,79.0,laut,254.0
funktionieren,522.0,Freundin,546,dramatisch,78.0,schließlich,254.0
anfangen,513.0,Papa,546,klar,78.0,nervös,252.0
verletzen,511.0,~,539,gemeinsam,78.0,hoffentlich,251.0
erledigen,510.0,Antwort,537,folgend,77.0,schwierig,243.0
brechen,499.0,Straße,536,eure,75.0,kaputt,242.0
entscheiden,497.0,Luft,533,großartig,75.0,wütend,242.0
erkennen,495.0,Nachricht,532,möglich,75.0,wunderbar,238.0
kämpfen,494.0,Stück,522,bekannt,74.0,interessant,235.0
entschuldigen,492.0,Onkel,515,müsste,74.0,worauf,232.0
melden,479.0,Bild,515,herrlich,74.0,normal,231.0
hab,477.0,Feuer,509,traurig,73.0,vorwärts,230.0
bewegen,476.0,Mama,509,oberer,73.0,ran,225.0
hängen,475.0,Körper,507,anständig,72.0,nochmal,224.0
öffnen,473.0,♪,507,leicht,72.0,wofür,224.0
erreichen,465.0,Büro,499,chinesisch,72.0,absolut,224.0
schauen,463.0,Kraft,498,ewig,71.0,halt,221.0
merken,461.0,Anwalt,494,fein,70.0,rechts,221.0
schließen,460.0,Traum,488,eu,70.0,traurig,221.0
behalten,460.0,Geschäft,487,fett,69.0,persönlich,221.0
wussen,455.0,Kampf,473,absolut,69.0,witzig,214.0
verstecken,455.0,Ziel,470,berechtigt,69.0,furchtbar,214.0
werfen,447.0,Lass,469,schick,68.0,hör,211.0
beweisen,446.0,Messer,469,Tolle,68.0,reich,211.0
aussehen,446.0,Augenblick,468,merkwürdig,67.0,übel,210.0
gehst,443.0,Schau,463,üblich,67.0,lächerlich,208.0
bestimmen,441.0,General,463,4.,67.0,mitten,206.0
siehst,440.0,Geist,463,verloren,67.0,seltsam,204.0
lachen,435.0,Foto,456,privat,66.0,rüber,202.0
bauen,431.0,Gedanke,453,fröhlich,66.0,ungefähr,202.0
